"ID","Unitype","Abbreviation1","Abbreviation2"
1,"Universitäten","U","U"
2,"Gesamthochschulen","GH","GH"
3,"Päd. Hochschulen","PH","PH"
4,"Theol. Hochschulen","Theol. H","TH"
5,"Kunsthochschulen","Kunst-H","KH"
6,"Fachhochschulen (ohne VerwFH)","FH (ohne VerwFH)","FH"
7,"Verwaltungsfachhochschulen","Verw-FH","VFH"
8,"Sonstige Hochschulen","SoHS","SoHS"
9,"Hochschulen im Ausland","HS im Ausl.","HS i.Ausl."
?,"Interne Berufsakademie","iba",""
??,"Berufsakademie","BA",""
???,"Fern-Fachhochschule","Fern-FH",""
????,"Hochschule","H",""
