HEI name,Type,Region,Funding,URL,Comment
U Freiburg i.Br.,Universitäten,Baden-Württemberg,Land,www.uni-freiburg.de,x
U Heidelberg in Heidelberg,Universitäten,Baden-Württemberg,Land,www.uni-heidelberg.de,x
U Hohenheim,Universitäten,Baden-Württemberg,Land,www.uni-hohenheim.de,x
Karlsruher Institut für Technologie (KIT) - Bereich Hochschule (U),Universitäten,Baden-Württemberg,Land,www.kit.edu,x
U Konstanz,Universitäten,Baden-Württemberg,Land,www.uni-konstanz.de,x
U Mannheim,Universitäten,Baden-Württemberg,Land,www.uni-mannheim.de,x
U Stuttgart,Universitäten,Baden-Württemberg,Land,www.uni-stuttgart.de,x
U Tübingen,Universitäten,Baden-Württemberg,Land,www.uni-tuebingen.de,x
U Ulm,Universitäten,Baden-Württemberg,Land,www.uni-ulm.de,x
Wissenschaftliche H Bierbronnen (U),Universitäten,Baden-Württemberg,Privat,www.siewerth-akademie.de,-
Zeppelin Universität Friedrichshafen (U),Universitäten,Baden-Württemberg,Privat,www.zu.de,x
"Freie Hochschule Stuttgart, Seminar für Waldorfpädagogik (U)",Universitäten,Baden-Württemberg,Privat,www.freie-hochschule-stuttgart.de,x
H für jüdische Studien Heidelberg (U),Universitäten,Baden-Württemberg,Kirchlich,www.hfjs.eu,d
U Augsburg,Universitäten,Bayern,Land,www.uni-augsburg.de,x
U Bamberg,Universitäten,Bayern,Land,www.uni-bamberg.de,x
U Bayreuth,Universitäten,Bayern,Land,www.uni-bayreuth.de,x
Kath. U Eichstätt-Ingolstadt in Ingolstadt (U),Universitäten,Bayern,Kirchlich,www.ku.de,x
U Erlangen-Nürnberg in Erlangen,Universitäten,Bayern,Land,www.fau.de,x
Technische Universität Nürnberg,Universitäten,Bayern,Land,www.utn.de,-
U München,Universitäten,Bayern,Land,www.lmu.de,x
TU München,Universitäten,Bayern,Land,www.tum.de,x
U der Bundeswehr München (FB Universitätsstudiengänge),Universitäten,Bayern,Bund,www.unibw.de,d
U Passau,Universitäten,Bayern,Land,www.uni-passau.de,x
U Regensburg,Universitäten,Bayern,Land,www.uni-regensburg.de,x
U Würzburg,Universitäten,Bayern,Land,www.uni-wuerzburg.de,x
FU Berlin,Universitäten,Berlin,Land,www.fu-berlin.de,x
TU Berlin,Universitäten,Berlin,Land,www.tu.berlin,x
Charité - Universitätsmedizin Berlin,Universitäten,Berlin,Land,www.charite.de,-
Humboldt-Universität Berlin,Universitäten,Berlin,Land,www.hu-berlin.de,x
ESCP Europe Wirtschaftshochschule Berlin (U),Universitäten,Berlin,Privat,www.escp.eu,x
"Europ. School of Management and Technology, Berlin (U)",Universitäten,Berlin,Privat,esmt.berlin,d
Hertie School of Governance Berlin (U),Universitäten,Berlin,Privat,www.hertie-school.org,x
