HEI name,Type,Region,Funding
U Freiburg i.Br.,Universitäten,Baden-Württemberg,Land
U Freiburg i.Br. (ohne Klinikum),Universitäten,Baden-Württemberg,Land
U Freiburg i.Br. (Klinikum),Universitäten,Baden-Württemberg,Land
U Heidelberg in Heidelberg,Universitäten,Baden-Württemberg,Land
U Heidelberg in Heidelberg (ohne Klinikum),Universitäten,Baden-Württemberg,Land
U Heidelberg in Mannheim,Universitäten,Baden-Württemberg,Land
U Heidelberg in Mannheim (Klinikum),Universitäten,Baden-Württemberg,Land
U Heidelberg in Heidelberg (Klinikum),Universitäten,Baden-Württemberg,Land
U Hohenheim,Universitäten,Baden-Württemberg,Land
Karlsruher Institut für Technologie (KIT) - Bereich Hochschule (U),Universitäten,Baden-Württemberg,Land
U Konstanz,Universitäten,Baden-Württemberg,Land
U Mannheim,Universitäten,Baden-Württemberg,Land
U Stuttgart,Universitäten,Baden-Württemberg,Land
U Tübingen,Universitäten,Baden-Württemberg,Land
U Tübingen (ohne Klinikum),Universitäten,Baden-Württemberg,Land
U Tübingen (Klinikum),Universitäten,Baden-Württemberg,Land
U Ulm,Universitäten,Baden-Württemberg,Land
U Ulm (ohne Klinikum),Universitäten,Baden-Württemberg,Land
U Ulm (Klinikum),Universitäten,Baden-Württemberg,Land
TU München in Heilbronn,Universitäten,Baden-Württemberg,Land
Wissenschaftliche H Bierbronnen (U),Universitäten,Baden-Württemberg,Privat
Zeppelin Universität Friedrichshafen (U),Universitäten,Baden-Württemberg,Privat
"Freie Hochschule Stuttgart, Seminar für Waldorfpädagogik (U)",Universitäten,Baden-Württemberg,Privat
H für jüdische Studien Heidelberg (U),Universitäten,Baden-Württemberg,Kirchlich
U Augsburg,Universitäten,Bayern,Land
U Augsburg (ohne Klinikum),Universitäten,Bayern,Land
U Augsburg (Klinikum),Universitäten,Bayern,Land
U Bamberg,Universitäten,Bayern,Land
U Bayreuth,Universitäten,Bayern,Land
Kath. U Eichstätt-Ingolstadt in Eichstätt (U),Universitäten,Bayern,Kirchlich
Kath. U Eichstätt-Ingolstadt in Ingolstadt (U),Universitäten,Bayern,Kirchlich
U Erlangen-Nürnberg in Erlangen,Universitäten,Bayern,Land
U Erlangen-Nürnberg in Nürnberg,Universitäten,Bayern,Land
U Erlangen-Nürnberg in Erlangen (Klinikum),Universitäten,Bayern,Land
Technische Universität Nürnberg,Universitäten,Bayern,Land
U München,Universitäten,Bayern,Land
U München in München,Universitäten,Bayern,Land
U München im Landkreis München,Universitäten,Bayern,Land
U München (ohne Klinikum),Universitäten,Bayern,Land
U München (Klinikum),Universitäten,Bayern,Land
TU München,Universitäten,Bayern,Land
TU München in München,Universitäten,Bayern,Land
TU München in Weihenstephan,Universitäten,Bayern,Land
TU München in Garching,Universitäten,Bayern,Land
TU München in Straubing,Universitäten,Bayern,Land
TU München in München (Klinikum),Universitäten,Bayern,Land
U der Bundeswehr München (FB Universitätsstudiengänge),Universitäten,Bayern,Bund
U der Bundeswehr München (FB Fachhochschulstudiengänge),Universitäten,Bayern,Bund
H für Politik München (U),Universitäten,Bayern,Land
U Passau,Universitäten,Bayern,Land
U Regensburg,Universitäten,Bayern,Land
U Regensburg (ohne Klinikum),Universitäten,Bayern,Land
U Regensburg (Klinikum),Universitäten,Bayern,Land
U Würzburg,Universitäten,Bayern,Land
U Würzburg (ohne Klinikum),Universitäten,Bayern,Land
U Würzburg (Klinikum),Universitäten,Bayern,Land
FU Berlin,Universitäten,Berlin,Land
TU Berlin,Universitäten,Berlin,Land
Charité - Universitätsmedizin Berlin,Universitäten,Berlin,Land
Humboldt-Universität Berlin,Universitäten,Berlin,Land
ESCP Europe Wirtschaftshochschule Berlin (U),Universitäten,Berlin,Privat
"Europ. School of Management and Technology, Berlin (U)",Universitäten,Berlin,Privat
Hertie School of Governance Berlin (U),Universitäten,Berlin,Privat
Steinbeis-H Berlin (U),Universitäten,Berlin,Privat
International Psychoanalytic University Berlin (U),Universitäten,Berlin,Privat
Psychologische Hochschule Berlin (U),Universitäten,Berlin,Privat
"Bard College Berlin, A Liberal Arts University (U)",Universitäten,Berlin,Privat
German International University Berlin (U),Universitäten,Berlin,Privat
Brandenburgische TU Cottbus-Senftenberg in Cottbus,Universitäten,Brandenburg,Land
Brandenburgische TU Cottbus-Senftenberg in Senftenberg,Universitäten,Brandenburg,Land
Europa-U Viadrina Frankfurt (Oder),Universitäten,Brandenburg,Land
U Potsdam,Universitäten,Brandenburg,Land
Medizinische Hochschule Brandenburg in Neuruppin (U),Universitäten,Brandenburg,Privat
Filmuniversität Babelsberg,Universitäten,Brandenburg,Land
HMU Health and Medical University Potsdam (U),Universitäten,Brandenburg,Privat
U Bremen,Universitäten,Bremen,Land
Jacobs University Bremen (U),Universitäten,Bremen,Privat
U Hamburg,Universitäten,Hamburg,Land
U Hamburg (ohne Klinikum),Universitäten,Hamburg,Land
Staats- und Universitätsbibliothek Hamburg,Universitäten,Hamburg,Land
U Hamburg (Klinikum),Universitäten,Hamburg,Land
Technische Universität Hamburg,Universitäten,Hamburg,Land
Hafencity Universität Hamburg,Universitäten,Hamburg,Land
Helmut-Schmidt-Universität Hamburg,Universitäten,Hamburg,Bund
Bucerius Law School Hamburg (U),Universitäten,Hamburg,Privat
KLU Kühne Logistics University (U),Universitäten,Hamburg,Privat
TU Darmstadt,Universitäten,Hessen,Land
U Frankfurt a.M.,Universitäten,Hessen,Land
U Frankfurt a.M. (ohne Klinikum),Universitäten,Hessen,Land
U Frankfurt a.M. (Klinikum),Universitäten,Hessen,Land
U Gießen,Universitäten,Hessen,Land
"Universitätsklinikum Gießen und Marburg, Abt. Gießen (H)",Hochschule,Hessen,Privat
"Universitätsklinikum Gießen und Marburg, Abt. Marburg (H)",Hochschule,Hessen,Privat
U Kassel in Kassel (ohne Kunsthochschule),Universitäten,Hessen,Land
U Kassel in Kassel (Kunsthochschule),Universitäten,Hessen,Land
U Kassel in Kassel (Intern. Management School),Universitäten,Hessen,Land
U Kassel in Witzenhausen,Universitäten,Hessen,Land
U Marburg,Universitäten,Hessen,Land
Frankfurt School of Finance & Management-HfB (U),Universitäten,Hessen,Privat
EBS U für Wirtschaft und Recht in Oestrich-Winkel (U),Universitäten,Hessen,Privat
EBS U für Wirtschaft und Recht in Wiesbaden (U),Universitäten,Hessen,Privat
U Greifswald,Universitäten,Mecklenburg-Vorp.,Land
U Greifswald (ohne Klinikum),Universitäten,Mecklenburg-Vorp.,Land
U Greifswald (Klinikum),Universitäten,Mecklenburg-Vorp.,Land
U Rostock,Universitäten,Mecklenburg-Vorp.,Land
U Rostock (ohne Klinikum),Universitäten,Mecklenburg-Vorp.,Land
U Rostock (Klinikum),Universitäten,Mecklenburg-Vorp.,Land
TU Braunschweig,Universitäten,Niedersachsen,Land
TU Clausthal,Universitäten,Niedersachsen,Land
U Göttingen,Universitäten,Niedersachsen,Land
U Göttingen (ohne Klinikum),Universitäten,Niedersachsen,Land
U Göttingen (Klinikum),Universitäten,Niedersachsen,Land
U Hannover,Universitäten,Niedersachsen,Land
Medizinische H Hannover (U),Universitäten,Niedersachsen,Land
Medizinische H Hannover (ohne Klinikum),Unknown,Niedersachsen,Land
Medizinische H Hannover (Klinikum),Unknown,Niedersachsen,Land
Tierärztliche H Hannover (U),Universitäten,Niedersachsen,Land
U Hildesheim,Universitäten,Niedersachsen,Land
U Lüneburg,Universitäten,Niedersachsen,Land
U Oldenburg,Universitäten,Niedersachsen,Land
U Osnabrück,Universitäten,Niedersachsen,Land
Universität Vechta,Universitäten,Niedersachsen,Land
TH Aachen (U),Universitäten,Nordrhein-Westfalen,Land
TH Aachen (ohne Klinikum),Theol. Hochschulen,Nordrhein-Westfalen,Land
TH Aachen (Klinikum),Theol. Hochschulen,Nordrhein-Westfalen,Land
U Bielefeld,Universitäten,Nordrhein-Westfalen,Land
U Bochum,Universitäten,Nordrhein-Westfalen,Land
U Bochum (ohne Klinikum),Universitäten,Nordrhein-Westfalen,Land
U Bochum (Klinikum),Universitäten,Nordrhein-Westfalen,Land
U Bonn,Universitäten,Nordrhein-Westfalen,Land
U Bonn (ohne Klinikum),Universitäten,Nordrhein-Westfalen,Land
U Bonn (Klinikum),Universitäten,Nordrhein-Westfalen,Land
TU Dortmund,Universitäten,Nordrhein-Westfalen,Land
U Düsseldorf,Universitäten,Nordrhein-Westfalen,Land
U Düsseldorf (ohne Klinikum),Universitäten,Nordrhein-Westfalen,Land
U Düsseldorf (Klinikum),Universitäten,Nordrhein-Westfalen,Land
U Duisburg-Essen in Essen,Universitäten,Nordrhein-Westfalen,Land
U Duisburg-Essen in Essen (ohne Klinikum),Universitäten,Nordrhein-Westfalen,Land
U Duisburg-Essen in Duisburg,Universitäten,Nordrhein-Westfalen,Land
U Duisburg-Essen in Essen (Klinikum),Universitäten,Nordrhein-Westfalen,Land
Fernuniversität Hagen,Universitäten,Nordrhein-Westfalen,Land
U Köln,Universitäten,Nordrhein-Westfalen,Land
U Köln (ohne Klinikum),Universitäten,Nordrhein-Westfalen,Land
U Köln (Klinikum),Universitäten,Nordrhein-Westfalen,Land
Deutsche Sporthochschule Köln (U),Universitäten,Nordrhein-Westfalen,Land
U Münster,Universitäten,Nordrhein-Westfalen,Land
U Münster (ohne Klinikum),Universitäten,Nordrhein-Westfalen,Land
U Münster (Klinikum),Universitäten,Nordrhein-Westfalen,Land
U Paderborn,Universitäten,Nordrhein-Westfalen,Land
U Siegen,Universitäten,Nordrhein-Westfalen,Land
U Wuppertal,Universitäten,Nordrhein-Westfalen,Land
Universität Witten-Herdecke (U),Universitäten,Nordrhein-Westfalen,Privat
Universität Witten-Herdecke (U) (ohne Klinikum),Universitäten,Nordrhein-Westfalen,Privat
Universität Witten-Herdecke (U) (Klinikum),Universitäten,Nordrhein-Westfalen,Privat
"Deutsche Hochschule der Polizei, Münster (U)",Universitäten,Nordrhein-Westfalen,Land
TU Kaiserslautern,Universitäten,Rheinland-Pfalz,Land
"U Koblenz-Landau in Mainz, Präsidialamt",Universitäten,Rheinland-Pfalz,Land
U Koblenz-Landau in Koblenz,Universitäten,Rheinland-Pfalz,Land
U Koblenz-Landau in Landau,Universitäten,Rheinland-Pfalz,Land
U Mainz in Germersheim,Universitäten,Rheinland-Pfalz,Land
U Mainz in Mainz,Universitäten,Rheinland-Pfalz,Land
Universitätsmedizin der U Mainz,Universitäten,Rheinland-Pfalz,Land
Deutsche Universität für Verwaltungswissenschaften Speyer,Universitäten,Rheinland-Pfalz,Land
U Trier,Universitäten,Rheinland-Pfalz,Land
"Wissenschaftliche H für Unternehmensführung, Vallendar (U)",Universitäten,Rheinland-Pfalz,Privat
U des Saarlandes Saarbrücken in Saarbrücken,Universitäten,Saarland,Land
U des Saarlandes Saarbrücken in Saarbrücken,Universitäten,Saarland,Land
U des Saarlandes Saarbrücken in Homburg/Saar (Med. Fakultät),Universitäten,Saarland,Land
U des Saarlandes Saarbrücken in Homburg/Saar (Klinikum-LKH),Universitäten,Saarland,Land
