"Sortierschl.","Region-sortkey","Text","Träger-
schaft"
10105000,1,"U Freiburg i.Br.",2
10105100,1,"U Freiburg i.Br. (ohne Klinikum)",2
10105990,1,"U Freiburg i.Br. (Klinikum)",2
10110000,1,"U Heidelberg in Heidelberg",2
10110100,1,"U Heidelberg in Heidelberg (ohne Klinikum)",2
10110200,1,"U Heidelberg in Mannheim",2
10110980,1,"U Heidelberg in Mannheim (Klinikum)",2
10110990,1,"U Heidelberg in Heidelberg (Klinikum)",2
10115000,1,"U Hohenheim",2
10120000,1,"Karlsruher Institut für Technologie (KIT) - Bereich Hochschule (U)",2
10125000,1,"U Konstanz",2
10130000,1,"U Mannheim",2
10135000,1,"U Stuttgart",2
10140000,1,"U Tübingen",2
10140100,1,"U Tübingen (ohne Klinikum)",2
10140990,1,"U Tübingen (Klinikum)",2
10145000,1,"U Ulm",2
10145100,1,"U Ulm (ohne Klinikum)",2
10145990,1,"U Ulm (Klinikum)",2
10148000,1,"TU München in Heilbronn",2
10150000,1,"Wissenschaftliche H Bierbronnen (Priv. U)",4
10160000,1,"Zeppelin Universität Friedrichshafen (Priv. U)",4
10170000,1,"Freie Hochschule Stuttgart, Seminar für Waldorfpädagogik (Priv. U)",4
10175000,1,"H für jüdische Studien Heidelberg (Kirchl. U)",5
10205000,2,"U Augsburg",2
10205800,2,"U Augsburg (ohne Klinikum)",2
10205990,2,"U Augsburg (Klinikum)",2
10210000,2,"U Bamberg",2
10215000,2,"U Bayreuth",2
10220100,2,"Kath. U Eichstätt-Ingolstadt in Eichstätt (Kirchl. U)",5
10220200,2,"Kath. U Eichstätt-Ingolstadt in Ingolstadt (Kirchl. U)",5
10225100,2,"U Erlangen-Nürnberg in Erlangen",2
10225200,2,"U Erlangen-Nürnberg in Nürnberg",2
10225990,2,"U Erlangen-Nürnberg in Erlangen (Klinikum)",2
10227000,2,"Technische Universität Nürnberg",2
10230000,2,"U München",2
10230200,2,"U München in München",2
10230300,2,"U München im Landkreis München",2
10230800,2,"U München (ohne Klinikum)",2
10230990,2,"U München (Klinikum)",2
10235000,2,"TU München",2
10235100,2,"TU München in München",2
10235200,2,"TU München in Weihenstephan",2
10235300,2,"TU München in Garching",2
10235400,2,"TU München in Straubing",2
10235990,2,"TU München in München (Klinikum)",2
10240001,2,"U der Bundeswehr München (FB Universitätsstudiengänge)",1
10240002,2,"U der Bundeswehr München (FB Fachhochschulstudiengänge)",1
10245000,2,"H für Politik München (U)",2
10250000,2,"U Passau",2
10255000,2,"U Regensburg",2
10255100,2,"U Regensburg (ohne Klinikum)",2
10255990,2,"U Regensburg (Klinikum)",2
10260000,2,"U Würzburg",2
10260100,2,"U Würzburg (ohne Klinikum)",2
10260990,2,"U Würzburg (Klinikum)",2
10305000,3,"FU Berlin",2
10310000,3,"TU Berlin",2
10315000,3,"Charité - Universitätsmedizin Berlin",2
10320000,3,"Humboldt-Universität Berlin",2
10325000,3,"ESCP Europe Wirtschaftshochschule Berlin (Priv. U)",4
10330000,3,"Europ. School of Management and Technology, Berlin (Priv. U)",4
10335000,3,"Hertie School of Governance Berlin (Priv. U)",4
10340000,3,"Steinbeis-H Berlin (Priv. U)",4
10350000,3,"International Psychoanalytic University Berlin (Priv. U)",4
10355000,3,"Psychologische Hochschule Berlin (Priv. U)",4
10360000,3,"Bard College Berlin, A Liberal Arts University (Priv. U)",4
10365000,3,"German International University Berlin (Priv. U)",4
10407100,4,"Brandenburgische TU Cottbus-Senftenberg in Cottbus",2
10407200,4,"Brandenburgische TU Cottbus-Senftenberg in Senftenberg",2
10410000,4,"Europa-U Viadrina Frankfurt (Oder)",2
10415000,4,"U Potsdam",2
10420000,4,"Medizinische Hochschule Brandenburg in Neuruppin (Priv. U)",4
10425000,4,"Filmuniversität Babelsberg",2
10430000,4,"HMU Health and Medical University Potsdam (Priv. U)",4
10505000,5,"U Bremen",2
10510000,5,"Jacobs University Bremen (Priv. U)",4
10605000,6,"U Hamburg",2
10605100,6,"U Hamburg (ohne Klinikum)",2
10605200,6,"Staats- und Universitätsbibliothek Hamburg",2
10605990,6,"U Hamburg (Klinikum)",2
10610000,6,"Technische Universität Hamburg",2
10615000,6,"Hafencity Universität Hamburg",2
10620000,6,"Helmut-Schmidt-Universität Hamburg",1
10625000,6,"Bucerius Law School Hamburg (Priv. U)",4
10630000,6,"KLU Kühne Logistics University (Priv. U)",4
10705000,7,"TU Darmstadt",2
10710000,7,"U Frankfurt a.M.",2
10710100,7,"U Frankfurt a.M. (ohne Klinikum)",2
10710990,7,"U Frankfurt a.M. (Klinikum)",2
10715000,7,"U Gießen",2
10720980,7,"Universitätsklinikum Gießen und Marburg, Abt. Gießen (Priv. H)",4
