ID,Region,Name,Category,Url
1,Baden-Württemberg,U Freiburg i.Br.,Public,www.uni-freiburg.de
2,Baden-Württemberg,U Heidelberg in Heidelberg,Public,www.uni-heidelberg.de
3,Baden-Württemberg,U Hohenheim,Public,www.uni-hohenheim.de
4,Baden-Württemberg,Karlsruher Institut für Technologie (KIT) - Bereich Hochschule (U),Public,www.kit.edu
5,Baden-Württemberg,U Konstanz,Public,www.uni-konstanz.de
6,Baden-Württemberg,U Stuttgart,Public,www.uni-stuttgart.de
7,Baden-Württemberg,U Tübingen,Public,www.uni-tuebingen.de
8,Baden-Württemberg,U Ulm,Public,www.uni-ulm.de
9,Baden-Württemberg,Zeppelin Universität Friedrichshafen (U),Private,www.zu.de
10,Baden-Württemberg,"Freie Hochschule Stuttgart, Seminar für Waldorfpädagogik (U)",Private,www.freie-hochschule-stuttgart.de
11,Bayern,U Augsburg,Public,www.uni-augsburg.de
12,Bayern,U Bamberg,Public,www.uni-bamberg.de
13,Bayern,U Bayreuth,Public,www.uni-bayreuth.de
14,Bayern,Kath. U Eichstätt-Ingolstadt in Ingolstadt (U),Private,www.ku.de
15,Bayern,U Erlangen-Nürnberg in Erlangen,Public,www.fau.de
16,Bayern,U München,Public,www.lmu.de
17,Bayern,TU München,Public,www.tum.de
18,Bayern,U Passau,Public,www.uni-passau.de
19,Bayern,U Regensburg,Public,www.uni-regensburg.de
20,Bayern,U Würzburg,Public,www.uni-wuerzburg.de
21,Berlin,FU Berlin,Public,www.fu-berlin.de
22,Berlin,TU Berlin,Public,www.tu.berlin
23,Berlin,Humboldt-Universität Berlin,Public,www.hu-berlin.de
24,Berlin,ESCP Europe Wirtschaftshochschule Berlin (U),Private,www.escp.eu
25,Berlin,International Psychoanalytic University Berlin (U),Private,www.ipu-berlin.de
26,Berlin,Psychologische Hochschule Berlin (U),Private,www.psychologische-hochschule.de
27,Berlin,"Bard College Berlin, A Liberal Arts University (U)",Private,www.berlin.bard.edu
28,Brandenburg,Brandenburgische TU Cottbus-Senftenberg,Public,www.b-tu.de
29,Brandenburg,Europa-U Viadrina Frankfurt (Oder),Public,www.europa-uni.de
30,Brandenburg,U Potsdam,Public,www.uni-potsdam.de
31,Brandenburg,Medizinische Hochschule Brandenburg in Neuruppin (U),Private,www.mhb-fontane.de
32,Brandenburg,Filmuniversität Babelsberg,Public,www.filmuniversitaet.de
33,Bremen,U Bremen,Public,www.uni-bremen.de
34,Bremen,Jacobs University Bremen (U),Private,www.jacobs-university.de
35,Hamburg,U Hamburg,Public,www.uni-hamburg.de
36,Hamburg,Technische Universität Hamburg,Public,www.tuhh.de
37,Hamburg,Hafencity Universität Hamburg,Public,www.hcu-hamburg.de
38,Hamburg,Bucerius Law School Hamburg (U),Private,www.law-school.de
39,Hamburg,KLU Kühne Logistics University (U),Private,www.the-klu.org
40,Hessen,TU Darmstadt,Public,www.tu-darmstadt.de
41,Hessen,U Frankfurt a.M.,Public,www.uni-frankfurt.de
