HEI name,Type,Region,Funding,URL,Comment
Fachhochschule Aachen,Fachhochschule,Nordrhein-Westfalen,Land,www.fh-aachen.de,x
Rheinisch-Westfälische Technische Hochschule Aachen,Universitäten,Nordrhein-Westfalen,Land,www.rwth-aachen.de,x
Hochschule Aalen - Technik und Wirtschaft,Fachhochschule,Baden-Württemberg,Land,www.hs-aalen.de,x
Hochschule Albstadt-Sigmaringen,Fachhochschule,Baden-Württemberg,Land,www.hs-albsig.de,x
Alanus Hochschule für Kunst und Gesellschaft,Kunsthochschulen,Nordrhein-Westfalen,Privat,www.alanus.edu,x
Ostbayerische Technische Hochschule Amberg-Weiden,Fachhochschule,Bayern,Land,www.oth-aw.de,x
Hochschule Anhalt - Anhalt University of Applied Sciences,Fachhochschule,Sachsen-Anhalt,Land,www.hs-anhalt.de,x
Hochschule für angewandte Wissenschaften Ansbach,Fachhochschule,Bayern,Land,www.hs-ansbach.de,x
Technische Hochschule Aschaffenburg,Fachhochschule,Bayern,Land,www.th-ab.de,x
Hochschule für angewandte Wissenschaften Augsburg - University of Applied Sciences,Fachhochschule,Bayern,Land,www.hs-augsburg.de,x
Universität Augsburg,Universitäten,Bayern,Land,www.uni-augsburg.de,x
Hochschule für Polizei Baden-Württemberg,Verwaltungsfachhochschulen,Baden-Württemberg,Land,www.hfpol-bw.de,x
Hochschule für Rechtspflege Schwetzingen,Verwaltungsfachhochschulen,Baden-Württemberg,Land,www.fh-schwetzingen.de,x
Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg,Verwaltungsfachhochschulen,Baden-Württemberg,Land,www.hs-ludwigsburg.de,x
Hochschule für öffentliche Verwaltung Kehl,Verwaltungsfachhochschulen,Baden-Württemberg,Land,www.hs-kehl.de,x
accadis Hochschule Bad Homburg,Fachhochschule,Hessen,Privat,www.accadis.com,x
Internationale Hochschule Liebenzell (IHL),Fachhochschule,Baden-Württemberg,Privat,www.ihl.eu,x
Otto-Friedrich-Universität Bamberg,Universitäten,Bayern,Land,www.uni-bamberg.de,x
Hochschule für den öffentlichen Dienst in Bayern,Verwaltungsfachhochschulen,Bayern,Land,www.fhvr.bayern.de,x
Hochschule für evangelische Kirchenmusik der Evangelisch-Lutherischen Kirche in Bayern,Kunsthochschulen,Bayern,Kirchlich,www.hfk-bayreuth.de,x
Universität Bayreuth,Universitäten,Bayern,Land,www.uni-bayreuth.de,x
Akkon-Hochschule,Fachhochschule,Berlin,Privat,www.akkon-hochschule.de,x
Alice Salomon Hochschule Berlin,Fachhochschule,Berlin,Land,www.ash-berlin.eu,x
bbw Hochschule,Fachhochschule,Berlin,Privat,www.bbw-hochschule.de,x
"Bard College Berlin, A Liberal Arts University",Universitäten,Berlin,Privat,www.berlin.bard.edu,x
Berliner Hochschule für Technik,Fachhochschule,Berlin,Land,www.bht-berlin.de,x
Berlin International University of Applied Sciences,Fachhochschule,Berlin,Privat,www.berlin-international.de,x
Barenboim-Said Akademie,Kunsthochschulen,Berlin,Privat,www.barenboimsaid.de,x
BSP Business and Law School - Hochschule für Management und Recht,Fachhochschule,Berlin,Privat,www.businessschool-berlin.de,x
CODE University of Applied Sciences,Fachhochschule,Berlin,Privat,code.berlin,x
Digital Business University of Applied Sciences,Fachhochschule,Berlin,Privat,dbuas.de,x
DEKRA Hochschule für Medien,Fachhochschule,Berlin,Privat,www.dekra-hochschule.de,x
DHGS Deutsche Hochschule für Gesundheit und Sport,Fachhochschule,Berlin,Privat,dhgs-hochschule.de,x
ESCP Europe Wirtschaftshochschule Berlin e.V.,Universitäten,Berlin,Privat,www.escp.eu,x
ESMT European School of Management and Technology,Universitäten,Berlin,Privat,www.esmt.org,x
Evangelische Hochschule Berlin,Fachhochschule,Berlin,Kirchlich,www.eh-berlin.de,x
