Region,Global #,Without axfr #,Without axfr %,With axfr #,With axfr %
Bremen,2,1,50.0,1,50.0
Baden-Württemberg,24,23,95.83333333333334,1,4.166666666666666
Nordrhein-Westfalen,25,24,96.0,1,4.0
Berlin,28,27,96.42857142857143,1,3.571428571428571
Bayern,12,12,100.0,0,0.0
Brandenburg,9,9,100.0,0,0.0
Hamburg,11,11,100.0,0,0.0
Hessen,23,23,100.0,0,0.0
Niedersachsen,16,16,100.0,0,0.0
Rheinland-Pfalz,6,6,100.0,0,0.0
Saarland,5,5,100.0,0,0.0
Sachsen,7,7,100.0,0,0.0
Sachsen-Anhalt,2,2,100.0,0,0.0
Schleswig-Holstein,3,3,100.0,0,0.0
Thüringen,2,2,100.0,0,0.0
Total,175,171,97.71428571428571,4,2.2857142857142856
