Region,Global #,Without DNSSEC #,Without DNSSEC %,With Invalid DNSSEC #,With Invalid DNSSEC %,With Valid DNSSEC #,With Valid DNSSEC %
Bayern,34,14,41.17647058823529,0,0.0,20,58.82352941176471
Mecklenburg-Vorpommern,7,5,71.42857142857143,0,0.0,2,28.57142857142857
Brandenburg,10,8,80.0,0,0.0,2,20.0
Bremen,5,4,80.0,0,0.0,1,20.0
Hamburg,10,8,80.0,0,0.0,2,20.0
Nordrhein-Westfalen,42,36,85.71428571428571,0,0.0,6,14.285714285714285
Rheinland-Pfalz,15,13,86.66666666666667,0,0.0,2,13.333333333333334
Hessen,22,20,90.9090909090909,0,0.0,2,9.090909090909092
Berlin,12,11,91.66666666666666,0,0.0,1,8.333333333333332
Niedersachsen,21,20,95.23809523809523,0,0.0,1,4.761904761904762
Sachsen,23,22,95.65217391304348,0,0.0,1,4.3478260869565215
Baden-Württemberg,48,46,95.83333333333334,0,0.0,2,4.166666666666666
Saarland,5,5,100.0,0,0.0,0,0.0
Sachsen-Anhalt,8,8,100.0,0,0.0,0,0.0
Schleswig-Holstein,10,10,100.0,0,0.0,0,0.0
Thüringen,11,11,100.0,0,0.0,0,0.0
Total,283,241,85.15901060070671,0,0.0,42,14.840989399293287
