Region,Quartile,With no Security Headers (pub),With 1-3 Security Headers (pub),With 4-6 Security Headers (pub),With 7-9 Security Headers (pub),With 10-11 Security Headers (pub),With no Security Headers (pvt),With 1-3 Security Headers (pvt),With 4-6 Security Headers (pvt),With 7-9 Security Headers (pvt),With 10-11 Security Headers (pvt)
Baden-Württemberg,1,14.583333333333334,60.416666666666664,22.916666666666664,0.0,2.083333333333333,20.833333333333336,66.66666666666666,12.5,0.0,0.0
Thüringen,1,0.0,45.45454545454545,54.54545454545454,0.0,0.0,0.0,50.0,50.0,0.0,0.0
Niedersachsen,1,14.285714285714285,57.14285714285714,28.57142857142857,0.0,0.0,12.5,37.5,50.0,0.0,0.0
Bayern,1,2.941176470588235,61.76470588235294,35.294117647058826,0.0,0.0,16.666666666666664,50.0,33.33333333333333,0.0,0.0
Nordrhein-Westfalen,1,19.047619047619047,45.23809523809524,35.714285714285715,0.0,0.0,16.0,60.0,24.0,0.0,0.0
Berlin,2,8.333333333333332,58.333333333333336,33.33333333333333,0.0,0.0,25.0,50.0,25.0,0.0,0.0
Hamburg,2,10.0,60.0,30.0,0.0,0.0,18.181818181818183,54.54545454545454,27.27272727272727,0.0,0.0
Mecklenburg-Vorpommern,2,14.285714285714285,57.14285714285714,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rheinland-Pfalz,2,13.333333333333334,46.666666666666664,40.0,0.0,0.0,50.0,33.33333333333333,16.666666666666664,0.0,0.0
Brandenburg,3,10.0,80.0,10.0,0.0,0.0,22.22222222222222,44.44444444444444,33.33333333333333,0.0,0.0
Hessen,3,18.181818181818183,45.45454545454545,36.36363636363637,0.0,0.0,34.78260869565217,60.86956521739131,4.3478260869565215,0.0,0.0
Saarland,3,0.0,60.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Bremen,3,20.0,40.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Sachsen,4,39.130434782608695,21.73913043478261,39.130434782608695,0.0,0.0,14.285714285714285,85.71428571428571,0.0,0.0,0.0
Schleswig-Holstein,4,20.0,80.0,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0
Sachsen-Anhalt,4,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Total,4,14.487632508833922,54.416961130742045,30.742049469964666,0.0,0.35335689045936397,20.57142857142857,57.714285714285715,21.714285714285715,0.0,0.0
