Region,Global #,With no Security Headers #,With no Security Headers %,With 1-3 Security Headers #,With 1-3 Security Headers %,With 4-6 Security Headers #,With 4-6 Security Headers %,With 7-9 Security Headers #,With 7-9 Security Headers %,With 10-11 Security Headers #,With 10-11 Security Headers %
Rheinland-Pfalz,6,3,50.0,2,33.33333333333333,1,16.666666666666664,0,0.0,0,0.0
Hessen,23,8,34.78260869565217,14,60.86956521739131,1,4.3478260869565215,0,0.0,0,0.0
Berlin,28,7,25.0,14,50.0,7,25.0,0,0.0,0,0.0
Brandenburg,9,2,22.22222222222222,4,44.44444444444444,3,33.33333333333333,0,0.0,0,0.0
Baden-Württemberg,24,5,20.833333333333336,16,66.66666666666666,3,12.5,0,0.0,0,0.0
Hamburg,11,2,18.181818181818183,6,54.54545454545454,3,27.27272727272727,0,0.0,0,0.0
Bayern,12,2,16.666666666666664,6,50.0,4,33.33333333333333,0,0.0,0,0.0
Nordrhein-Westfalen,25,4,16.0,15,60.0,6,24.0,0,0.0,0,0.0
Sachsen,7,1,14.285714285714285,6,85.71428571428571,0,0.0,0,0.0,0,0.0
Niedersachsen,16,2,12.5,6,37.5,8,50.0,0,0.0,0,0.0
Bremen,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0
Saarland,5,0,0.0,5,100.0,0,0.0,0,0.0,0,0.0
Sachsen-Anhalt,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0
Schleswig-Holstein,3,0,0.0,2,66.66666666666666,1,33.33333333333333,0,0.0,0,0.0
Thüringen,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0
Total,175,36,20.57142857142857,101,57.714285714285715,38,21.714285714285715,0,0.0,0,0.0
