Region,Global #,With no Security Headers #,With no Security Headers %,With 1-3 Security Headers #,With 1-3 Security Headers %,With 4-6 Security Headers #,With 4-6 Security Headers %,With 7-9 Security Headers #,With 7-9 Security Headers %,With 10-11 Security Headers #,With 10-11 Security Headers %
Sachsen,23,9,39.130434782608695,5,21.73913043478261,9,39.130434782608695,0,0.0,0,0.0
Bremen,5,1,20.0,2,40.0,2,40.0,0,0.0,0,0.0
Schleswig-Holstein,10,2,20.0,8,80.0,0,0.0,0,0.0,0,0.0
Nordrhein-Westfalen,42,8,19.047619047619047,19,45.23809523809524,15,35.714285714285715,0,0.0,0,0.0
Hessen,22,4,18.181818181818183,10,45.45454545454545,8,36.36363636363637,0,0.0,0,0.0
Baden-Württemberg,48,7,14.583333333333334,29,60.416666666666664,11,22.916666666666664,0,0.0,1,2.083333333333333
Mecklenburg-Vorpommern,7,1,14.285714285714285,4,57.14285714285714,2,28.57142857142857,0,0.0,0,0.0
Niedersachsen,21,3,14.285714285714285,12,57.14285714285714,6,28.57142857142857,0,0.0,0,0.0
Rheinland-Pfalz,15,2,13.333333333333334,7,46.666666666666664,6,40.0,0,0.0,0,0.0
Brandenburg,10,1,10.0,8,80.0,1,10.0,0,0.0,0,0.0
Hamburg,10,1,10.0,6,60.0,3,30.0,0,0.0,0,0.0
Berlin,12,1,8.333333333333332,7,58.333333333333336,4,33.33333333333333,0,0.0,0,0.0
Bayern,34,1,2.941176470588235,21,61.76470588235294,12,35.294117647058826,0,0.0,0,0.0
Saarland,5,0,0.0,3,60.0,2,40.0,0,0.0,0,0.0
Sachsen-Anhalt,8,0,0.0,8,100.0,0,0.0,0,0.0,0,0.0
Thüringen,11,0,0.0,5,45.45454545454545,6,54.54545454545454,0,0.0,0,0.0
Total,283,41,14.487632508833922,154,54.416961130742045,87,30.742049469964666,0,0.0,1,0.35335689045936397
