Region,Global #,Without SSL #,Without SSL %,2048 (RSA) #,2048 (RSA) %,3072 (RSA) #,3072 (RSA) %,256 (ECC) #,256 (ECC) %,4096 (RSA) #,4096 (RSA) %,384 (ECC) #,384 (ECC) %,8192 (RSA) #,8192 (RSA) %
Baden-Württemberg,24,0,0.0,20,83.33333333333334,0,0.0,0,0.0,3,12.5,1,4.166666666666666,0,0.0
Bayern,12,0,0.0,9,75.0,1,8.333333333333332,1,8.333333333333332,1,8.333333333333332,0,0.0,0,0.0
Berlin,28,0,0.0,23,82.14285714285714,0,0.0,1,3.571428571428571,4,14.285714285714285,0,0.0,0,0.0
Brandenburg,9,0,0.0,8,88.88888888888889,0,0.0,0,0.0,1,11.11111111111111,0,0.0,0,0.0
Bremen,2,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Hamburg,11,0,0.0,9,81.81818181818183,0,0.0,1,9.090909090909092,1,9.090909090909092,0,0.0,0,0.0
Hessen,23,0,0.0,18,78.26086956521739,1,4.3478260869565215,0,0.0,4,17.391304347826086,0,0.0,0,0.0
Niedersachsen,16,0,0.0,14,87.5,0,0.0,0,0.0,2,12.5,0,0.0,0,0.0
Nordrhein-Westfalen,25,0,0.0,18,72.0,0,0.0,0,0.0,7,28.000000000000004,0,0.0,0,0.0
Rheinland-Pfalz,6,0,0.0,6,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Saarland,5,0,0.0,5,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sachsen,7,0,0.0,7,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sachsen-Anhalt,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Schleswig-Holstein,3,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Thüringen,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Total,175,0,0.0,145,82.85714285714286,2,1.1428571428571428,3,1.7142857142857144,24,13.714285714285715,1,0.5714285714285714,0,0.0
