Region,Quartile,Without SSL (pub),RSA (pub),ECC (pub),Without SSL (pvt),RSA (pvt),ECC (pvt)
Berlin,1,0.0,83.33333333333334,16.666666666666664,0.0,96.42857142857143,3.571428571428571
Hamburg,1,0.0,90.0,10.0,0.0,90.9090909090909,9.090909090909092
Baden-Württemberg,1,4.166666666666666,83.33333333333334,12.5,0.0,95.83333333333334,4.166666666666666
Bayern,1,0.0,94.11764705882352,5.88235294117647,0.0,91.66666666666666,8.333333333333332
Sachsen-Anhalt,1,0.0,87.5,12.5,0.0,100.0,0.0
Brandenburg,2,0.0,90.0,10.0,0.0,100.0,0.0
Schleswig-Holstein,2,0.0,90.0,10.0,0.0,100.0,0.0
Rheinland-Pfalz,2,0.0,93.33333333333333,6.666666666666667,0.0,100.0,0.0
Nordrhein-Westfalen,2,0.0,95.23809523809523,4.761904761904762,0.0,100.0,0.0
Hessen,3,0.0,95.45454545454545,4.545454545454546,0.0,100.0,0.0
Bremen,3,0.0,100.0,0.0,0.0,100.0,0.0
Saarland,3,0.0,100.0,0.0,0.0,100.0,0.0
Sachsen,3,0.0,100.0,0.0,0.0,100.0,0.0
Thüringen,4,0.0,100.0,0.0,0.0,100.0,0.0
Niedersachsen,4,4.761904761904762,95.23809523809523,0.0,0.0,100.0,0.0
Mecklenburg-Vorpommern,4,14.285714285714285,85.71428571428571,0.0,0.0,0.0,0.0
Total,4,1.4134275618374559,92.226148409894,6.36042402826855,0.0,97.71428571428571,2.2857142857142856
