Region,Global #,Without SSL #,Without SSL %,RSA #,RSA %,ECC #,ECC %
Baden-Württemberg,24,0,0.0,23,95.83333333333334,1,4.166666666666666
Bayern,12,0,0.0,11,91.66666666666666,1,8.333333333333332
Berlin,28,0,0.0,27,96.42857142857143,1,3.571428571428571
Brandenburg,9,0,0.0,9,100.0,0,0.0
Bremen,2,0,0.0,2,100.0,0,0.0
Hamburg,11,0,0.0,10,90.9090909090909,1,9.090909090909092
Hessen,23,0,0.0,23,100.0,0,0.0
Niedersachsen,16,0,0.0,16,100.0,0,0.0
Nordrhein-Westfalen,25,0,0.0,25,100.0,0,0.0
Rheinland-Pfalz,6,0,0.0,6,100.0,0,0.0
Saarland,5,0,0.0,5,100.0,0,0.0
Sachsen,7,0,0.0,7,100.0,0,0.0
Sachsen-Anhalt,2,0,0.0,2,100.0,0,0.0
Schleswig-Holstein,3,0,0.0,3,100.0,0,0.0
Thüringen,2,0,0.0,2,100.0,0,0.0
Total,175,0,0.0,171,97.71428571428571,4,2.2857142857142856
