Region,Global #,Without SSL #,Without SSL %,RSA #,RSA %,ECC #,ECC %
Mecklenburg-Vorpommern,7,1,14.285714285714285,6,85.71428571428571,0,0.0
Niedersachsen,21,1,4.761904761904762,20,95.23809523809523,0,0.0
Baden-Württemberg,48,2,4.166666666666666,40,83.33333333333334,6,12.5
Bayern,34,0,0.0,32,94.11764705882352,2,5.88235294117647
Berlin,12,0,0.0,10,83.33333333333334,2,16.666666666666664
Brandenburg,10,0,0.0,9,90.0,1,10.0
Bremen,5,0,0.0,5,100.0,0,0.0
Hamburg,10,0,0.0,9,90.0,1,10.0
Hessen,22,0,0.0,21,95.45454545454545,1,4.545454545454546
Nordrhein-Westfalen,42,0,0.0,40,95.23809523809523,2,4.761904761904762
Rheinland-Pfalz,15,0,0.0,14,93.33333333333333,1,6.666666666666667
Saarland,5,0,0.0,5,100.0,0,0.0
Sachsen,23,0,0.0,23,100.0,0,0.0
Sachsen-Anhalt,8,0,0.0,7,87.5,1,12.5
Schleswig-Holstein,10,0,0.0,9,90.0,1,10.0
Thüringen,11,0,0.0,11,100.0,0,0.0
Total,283,4,1.4134275618374559,261,92.226148409894,18,6.36042402826855
