Region,Global #,Without SSL #,Without SSL %,SSLv2.0 #,SSLv2.0 %,SSLv3.0 #,SSLv3.0 %,TLSv1.0 #,TLSv1.0 %,TLSv1.1 #,TLSv1.1 %,TLSv1.2 #,TLSv1.2 %,TLSv1.3 #,TLSv1.3 %
Mecklenburg-Vorpommern,7,1,14.285714285714285,0,0.0,0,0.0,0,0.0,0,0.0,6,85.71428571428571,0,0.0
Niedersachsen,21,1,4.761904761904762,0,0.0,0,0.0,2,9.523809523809524,0,0.0,18,85.71428571428571,0,0.0
Baden-Württemberg,48,2,4.166666666666666,0,0.0,0,0.0,2,4.166666666666666,0,0.0,44,91.66666666666666,0,0.0
Bayern,34,0,0.0,0,0.0,0,0.0,5,14.705882352941178,0,0.0,29,85.29411764705883,0,0.0
Berlin,12,0,0.0,0,0.0,0,0.0,3,25.0,0,0.0,9,75.0,0,0.0
Brandenburg,10,0,0.0,0,0.0,0,0.0,2,20.0,0,0.0,8,80.0,0,0.0
Bremen,5,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,4,80.0,0,0.0
Hamburg,10,0,0.0,0,0.0,0,0.0,2,20.0,0,0.0,8,80.0,0,0.0
Hessen,22,0,0.0,0,0.0,1,4.545454545454546,0,0.0,0,0.0,21,95.45454545454545,0,0.0
Nordrhein-Westfalen,42,0,0.0,0,0.0,0,0.0,7,16.666666666666664,0,0.0,35,83.33333333333334,0,0.0
Rheinland-Pfalz,15,0,0.0,0,0.0,0,0.0,1,6.666666666666667,0,0.0,14,93.33333333333333,0,0.0
Saarland,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,100.0,0,0.0
Sachsen,23,0,0.0,0,0.0,0,0.0,1,4.3478260869565215,1,4.3478260869565215,21,91.30434782608695,0,0.0
Sachsen-Anhalt,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,100.0,0,0.0
Schleswig-Holstein,10,0,0.0,0,0.0,0,0.0,3,30.0,0,0.0,7,70.0,0,0.0
Thüringen,11,0,0.0,0,0.0,0,0.0,1,9.090909090909092,0,0.0,10,90.9090909090909,0,0.0
Total,283,4,1.4134275618374559,0,0.0,1,0.35335689045936397,30,10.60070671378092,1,0.35335689045936397,247,87.27915194346289,0,0.0
