id,region,name,category,url,dnssec_domain,dnssec_nameserver,has_dnssec,dnssec_is_valid,dnssec_algorithm
8,Baden-Württemberg,U Ulm,Public,www.uni-ulm.de,uni-ulm.de,dns3.belwue.de.,False,False,
4,Baden-Württemberg,Karlsruher Institut für Technologie (KIT) - Bereich Hochschule (U),Public,www.kit.edu,kit.edu,dns1.kit.edu.,False,False,
2,Baden-Württemberg,U Heidelberg in Heidelberg,Public,www.uni-heidelberg.de,uni-heidelberg.de,dns3.belwue.de.,False,False,
1,Baden-Württemberg,U Freiburg i.Br.,Public,www.uni-freiburg.de,uni-freiburg.de,dns3.belwue.de.,False,False,
7,Baden-Württemberg,U Tübingen,Public,www.uni-tuebingen.de,uni-tuebingen.de,dns3.belwue.de.,False,False,
5,Baden-Württemberg,U Konstanz,Public,www.uni-konstanz.de,uni-konstanz.de,uranos.rz.uni-konstanz.de.,False,False,
3,Baden-Württemberg,U Hohenheim,Public,www.uni-hohenheim.de,uni-hohenheim.de,ns2.uni-hohenheim.de.,False,False,
9,Baden-Württemberg,Zeppelin Universität Friedrichshafen (U),Private,www.zu.de,zu.de,cns3.alfahosting.info.,False,False,
10,Baden-Württemberg,"Freie Hochschule Stuttgart, Seminar für Waldorfpädagogik (U)",Private,www.freie-hochschule-stuttgart.de,freie-hochschule-stuttgart.de,ns81.domaincontrol.com.,False,False,
12,Bayern,U Bamberg,Public,www.uni-bamberg.de,uni-bamberg.de,ns01.rz.uni-bamberg.de.,False,False,
13,Bayern,U Bayreuth,Public,www.uni-bayreuth.de,uni-bayreuth.de,btr0x5.rz.uni-bayreuth.de.,False,False,
14,Bayern,Kath. U Eichstätt-Ingolstadt in Ingolstadt (U),Private,www.ku.de,ku.de,ns3.rrze.uni-erlangen.de.,True,True,RSASHA512
15,Bayern,U Erlangen-Nürnberg in Erlangen,Public,www.fau.de,fau.de,ns2.rrze.uni-erlangen.de.,True,True,RSASHA256
11,Bayern,U Augsburg,Public,www.uni-augsburg.de,uni-augsburg.de,dns2.rz.uni-augsburg.de.,True,True,RSASHA256
6,Baden-Württemberg,U Stuttgart,Public,www.uni-stuttgart.de,uni-stuttgart.de,dns-auth2.uni-stuttgart.edu.,True,True,RSASHA512
16,Bayern,U München,Public,www.lmu.de,lmu.de,dns2.lrz.bayern.,True,True,RSASHA256
18,Bayern,U Passau,Public,www.uni-passau.de,uni-passau.de,ns.forwiss.uni-passau.de.,True,True,RSASHA256
20,Bayern,U Würzburg,Public,www.uni-wuerzburg.de,uni-wuerzburg.de,dns-1.dfn.de.,False,False,
21,Berlin,FU Berlin,Public,www.fu-berlin.de,fu-berlin.de,ns1.fu-berlin.de.,False,False,
23,Berlin,Humboldt-Universität Berlin,Public,www.hu-berlin.de,hu-berlin.de,ns.tu-berlin.de.,False,False,
17,Bayern,TU München,Public,www.tum.de,tum.de,dns1.lrz.de.,True,True,RSASHA256
19,Bayern,U Regensburg,Public,www.uni-regensburg.de,uni-regensburg.de,dns1.uni-regensburg.de.,True,True,RSASHA256
24,Berlin,ESCP Europe Wirtschaftshochschule Berlin (U),Private,www.escp.eu,escp.eu,ns-106-c.gandi.net.,False,False,
27,Berlin,"Bard College Berlin, A Liberal Arts University (U)",Private,www.berlin.bard.edu,bard.edu,alec.ns.cloudflare.com.,False,False,
26,Berlin,Psychologische Hochschule Berlin (U),Private,www.psychologische-hochschule.de,psychologische-hochschule.de,ns1073.ui-dns.biz.,False,False,
25,Berlin,International Psychoanalytic University Berlin (U),Private,www.ipu-berlin.de,ipu-berlin.de,ns.inwx.de.,False,False,
22,Berlin,TU Berlin,Public,www.tu.berlin,tu.berlin,ns.tu-berlin.de.,True,True,RSASHA512
28,Brandenburg,Brandenburgische TU Cottbus-Senftenberg,Public,www.b-tu.de,b-tu.de,math-s.math.tu-cottbus.de.,False,False,
31,Brandenburg,Medizinische Hochschule Brandenburg in Neuruppin (U),Private,www.mhb-fontane.de,mhb-fontane.de,a.ns14.net.,False,False,
29,Brandenburg,Europa-U Viadrina Frankfurt (Oder),Public,www.europa-uni.de,europa-uni.de,ns1.euv-frankfurt-o.de.,False,False,
30,Brandenburg,U Potsdam,Public,www.uni-potsdam.de,uni-potsdam.de,ns.uni-potsdam.de.,False,False,
34,Bremen,Jacobs University Bremen (U),Private,www.jacobs-university.de,jacobs-university.de,ns-02.briteline.de.,False,False,
32,Brandenburg,Filmuniversität Babelsberg,Public,www.filmuniversitaet.de,filmuniversitaet.de,nameserver.hff-potsdam.de.,True,True,ECDSAP384SHA384
35,Hamburg,U Hamburg,Public,www.uni-hamburg.de,uni-hamburg.de,dns2.rrz.uni-hamburg.de.,False,False,
33,Bremen,U Bremen,Public,www.uni-bremen.de,uni-bremen.de,ns.informatik.uni-bremen.de.,True,True,RSASHA256
36,Hamburg,Technische Universität Hamburg,Public,www.tuhh.de,tuhh.de,authdns1.rz.tuhh.de.,True,True,RSASHA256
39,Hamburg,KLU Kühne Logistics University (U),Private,www.the-klu.org,the-klu.org,ns.checkdomain.de.,False,False,
38,Hamburg,Bucerius Law School Hamburg (U),Private,www.law-school.de,law-school.de,ns0.de.colt.net.,False,False,
37,Hamburg,Hafencity Universität Hamburg,Public,www.hcu-hamburg.de,hcu-hamburg.de,dns-2.dfn.de.,False,False,
40,Hessen,TU Darmstadt,Public,www.tu-darmstadt.de,tu-darmstadt.de,ns2.man-da.de.,True,True,RSASHA256
42,Hessen,U Gießen,Public,www.uni-giessen.de,uni-giessen.de,deneb.dfn.de.,False,False,
41,Hessen,U Frankfurt a.M.,Public,www.uni-frankfurt.de,uni-frankfurt.de,chaplin.rz.uni-frankfurt.de.,False,False,
43,Hessen,U Kassel in Kassel,Public,www.uni-kassel.de,uni-kassel.de,pm8-3.its.uni-kassel.de.,False,False,
44,Hessen,U Marburg,Public,www.uni-marburg.de,uni-marburg.de,dns-2.dfn.de.,False,False,
46,Hessen,EBS U für Wirtschaft und Recht in Wiesbaden (U),Private,www.ebs.edu,ebs.edu,nssrh.srh.de.,False,False,
45,Hessen,Frankfurt School of Finance & Management-HfB (U),Private,www.frankfurt-school.de,frankfurt-school.de,ns6.sec-provider.de.,False,False,
47,Mecklenburg-Vorpommern,U Greifswald,Public,www.uni-greifswald.de,uni-greifswald.de,dns1.uni-greifswald.de.,True,True,ECDSAP384SHA384
49,Niedersachsen,TU Braunschweig,Public,www.tu-braunschweig.de,tu-braunschweig.de,deneb.dfn.de.,False,False,
50,Niedersachsen,TU Clausthal,Public,www.tu-clausthal.de,tu-clausthal.de,numerobis.rz.tu-clausthal.de.,False,False,
51,Niedersachsen,U Göttingen,Public,www.uni-goettingen.de,uni-goettingen.de,dns1.gwdg.de.,False,False,
52,Niedersachsen,U Hannover,Public,www.uni-hannover.de,uni-hannover.de,ns3.uni-hannover.de.,False,False,
48,Mecklenburg-Vorpommern,U Rostock,Public,www.uni-rostock.de,uni-rostock.de,dns-3.dfn.de.,True,True,RSASHA512
53,Niedersachsen,Tierärztliche H Hannover (U),Public,www.tiho-hannover.de,tiho-hannover.de,ns3.tiho-hannover.de.,False,False,
55,Niedersachsen,U Lüneburg,Public,www.leuphana.de,leuphana.de,deneb.dfn.de.,False,False,
54,Niedersachsen,U Hildesheim,Public,www.uni-hildesheim.de,uni-hildesheim.de,rzvsdns01.rz.uni-hildesheim.de.,False,False,
56,Niedersachsen,U Oldenburg,Public,www.uol.de,uol.de,ns02.uni-oldenburg.de.,False,False,
57,Niedersachsen,U Osnabrück,Public,www.uni-osnabrueck.de,uni-osnabrueck.de,dns-2.serv.uni-osnabrueck.de.,False,False,
62,Nordrhein-Westfalen,U Bonn,Public,www.uni-bonn.de,uni-bonn.de,dns-3.dfn.de.,False,False,
63,Nordrhein-Westfalen,TU Dortmund,Public,www.tu-dortmund.de,tu-dortmund.de,ns2.itmc.tu-dortmund.de.,False,False,
65,Nordrhein-Westfalen,Fernuniversität Hagen,Public,www.fernuni-hagen.de,fernuni-hagen.de,dns-1.dfn.de.,False,False,
61,Nordrhein-Westfalen,U Bochum,Public,www.ruhr-uni-bochum.de,ruhr-uni-bochum.de,dns2.ruhr-uni-bochum.de.,True,True,ECDSAP256SHA256
64,Nordrhein-Westfalen,U Düsseldorf,Public,www.hhu.de,hhu.de,selene.rz.uni-duesseldorf.de.,False,False,
59,Nordrhein-Westfalen,TH Aachen (U),Public,www.rwth-aachen.de,rwth-aachen.de,zs1.rz.rwth-aachen.de.,True,True,RSASHA256
60,Nordrhein-Westfalen,U Bielefeld,Public,www.uni-bielefeld.de,uni-bielefeld.de,dns-2.dfn.de.,True,True,RSASHA512
66,Nordrhein-Westfalen,U Köln,Public,uni-koeln.de,uni-koeln.de,noc2.rrz.uni-koeln.de.,False,False,
67,Nordrhein-Westfalen,Deutsche Sporthochschule Köln (U),Public,www.dshs-koeln.de,dshs-koeln.de,dns4.netcologne.de.,False,False,
70,Nordrhein-Westfalen,U Siegen,Public,www.uni-siegen.de,uni-siegen.de,si-nic.hrz.uni-siegen.de.,False,False,
71,Nordrhein-Westfalen,U Wuppertal,Public,www.uni-wuppertal.de,uni-wuppertal.de,dns-2.uni-wuppertal.de.,False,False,
69,Nordrhein-Westfalen,U Paderborn,Public,www.uni-paderborn.de,uni-paderborn.de,dns2.uni-paderborn.de.,False,False,
68,Nordrhein-Westfalen,U Münster,Public,www.uni-muenster.de,uni-muenster.de,ns02-ext.uni-muenster.de.,False,False,
72,Nordrhein-Westfalen,Universität Witten-Herdecke (U),Private,www.uni-wh.de,uni-wh.de,dmz6.uni-wh.de.,True,False,DH
73,Rheinland-Pfalz,U Mainz in Mainz,Public,www.uni-mainz.de,uni-mainz.de,ns-extern.zdv.uni-mainz.de.,False,False,
58,Niedersachsen,Universität Vechta,Public,www.uni-vechta.de,uni-vechta.de,dns02.uni-vechta.de.,True,True,RSASHA512
74,Rheinland-Pfalz,Deutsche Universität für Verwaltungswissenschaften Speyer,Public,www.uni-speyer.de,uni-speyer.de,minnehaha.rhrk.uni-kl.de.,False,False,
76,Rheinland-Pfalz,"Wissenschaftliche H für Unternehmensführung, Vallendar (U)",Private,www.whu.edu,whu.edu,secondary006.dtag.net.,False,False,
